id,question_id,quiz_id,text,correct
1,1,1,find,false
2,1,1,findAll,false
3,1,1,filter,true
4,1,1,reduce,false
5,2,1,-1,true
6,2,1,false,false
7,2,1,null,false
8,3,1,create a new array of shorter length than the original,false
9,3,1,create a new array of the same length as the original,true
10,3,1,return a single value,false
11,3,1,transform the original array,false
12,4,2,`has_and_belongs_to_many :posts` in `Comment`,false
13,4,2,"`belongs_to :post, through: :post_id` in `Comment`",false
14,4,2,"`has_many :comments` in `Post`",true
15,4,2,`belongs_to :comment` in `Post`,false
16,5,2,numericality,true
17,5,2,reliability,false
18,5,2,email,false
19,5,2,text,false
20,5,2,size,false
21,6,2,PostgreSQL,false
22,6,2,SQLite,false
23,6,2,MySQL,false
24,6,2,MongoDB,true
